iter	Passed	Remaining
400	24169	36103
401	24226	36038
402	24284	35975
403	24343	35913
404	24403	35852
405	24461	35788
406	24535	35748
407	24593	35684
408	24649	35618
409	24708	35556
410	24764	35489
411	24818	35420
412	24883	35367
413	24946	35310
414	25006	35250
415	25074	35200
416	25133	35138
417	25191	35075
418	25252	35016
419	25316	34960
420	25379	34904
421	25466	34880
422	25528	34822
423	25601	34779
424	25661	34718
425	25722	34659
426	25779	34593
427	25838	34531
428	25901	34475
429	25972	34428
430	26030	34365
431	26088	34301
432	26148	34241
433	26211	34183
434	26271	34122
435	26330	34060
436	26389	33997
437	26445	33932
438	26504	33870
439	26560	33804
440	26615	33737
441	26676	33677
442	26732	33612
443	26796	33556
444	26857	33497
445	26919	33437
446	26981	33379
447	27050	33329
448	27109	33267
449	27177	33217
450	27256	33179
451	27317	33119
452	27380	33062
453	27444	33005
454	27509	32950
455	27583	32906
456	27646	32849
457	27724	32809
458	27785	32749
459	27850	32694
460	27921	32646
461	27974	32576
462	28028	32507
463	28082	32439
464	28137	32373
465	28199	32314
466	28258	32252
467	28326	32199
468	28392	32145
469	28456	32088
470	28517	32029
471	28579	31969
472	28640	31909
473	28700	31849
474	28761	31789
475	28826	31733
476	28887	31673
477	28962	31627
478	29023	31568
479	29083	31506
480	29147	31450
481	29208	31389
482	29270	31330
483	29335	31274
484	29397	31216
485	29462	31160
486	29523	31100
487	29588	31043
488	29651	30985
489	29713	30926
490	29776	30867
491	29836	30806
492	29900	30749
493	29964	30692
494	30022	30629
495	30089	30574
496	30147	30511
497	30215	30458
498	30281	30402
499	30340	30340
500	30399	30278
501	30460	30217
502	30511	30147
503	30568	30083
504	30630	30024
505	30691	29963
506	30753	29904
507	30818	29848
508	30883	29791
509	30944	29730
510	31009	29674
511	31072	29616
512	31137	29559
513	31200	29500
514	31262	29441
515	31319	29377
516	31378	29314
517	31439	29254
518	31504	29198
519	31568	29140
520	31628	29079
521	31690	29019
522	31751	28958
523	31812	28898
524	31872	28837
525	31929	28773
526	31987	28710
527	32051	28651
528	32115	28594
529	32180	28537
530	32252	28486
531	32314	28426
532	32373	28364
533	32450	28317
534	32508	28255
535	32568	28193
536	32629	28133
537	32691	28073
538	32752	28013
539	32815	27953
540	32875	27892
541	32934	27830
542	32993	27768
543	33054	27707
544	33122	27653
545	33182	27590
546	33242	27529
547	33310	27475
548	33368	27411
549	33436	27357
550	33496	27295
551	33554	27232
552	33615	27171
553	33682	27116
554	33743	27055
555	33800	26991
556	33857	26928
557	33916	26866
558	33977	26805
559	34041	26746
560	34104	26687
561	34162	26625
562	34220	26562
563	34281	26501
564	34338	26437
565	34397	26375
566	34461	26317
567	34518	26253
568	34578	26192
569	34635	26128
570	34692	26064
571	34750	26002
572	34808	25939
573	34868	25877
574	34928	25816
575	34989	25756
576	35049	25694
577	35105	25630
578	35163	25567
579	35219	25503
580	35277	25441
581	35338	25380
582	35400	25320
583	35458	25257
584	35521	25199
585	35581	25138
586	35640	25075
587	35697	25012
588	35753	24948
589	35849	24912
590	35914	24854
591	35987	24802
592	36054	24745
593	36117	24686
594	36179	24626
595	36241	24566
596	36305	24507
597	36374	24452
598	36439	24394
599	36502	24334
600	36570	24278
601	36630	24217
602	36694	24158
603	36754	24097
604	36815	24036
605	36882	23979
606	36949	23922
607	37014	23864
608	37097	23817
609	37162	23759
610	37227	23701
611	37290	23641
612	37354	23582
613	37418	23523
614	37482	23464
615	37546	23405
616	37612	23347
617	37678	23289
618	37739	23228
619	37797	23166
620	37854	23102
621	37913	23040
622	37976	22980
623	38046	22925
624	38105	22863
625	38163	22800
626	38221	22737
627	38276	22673
628	38332	22609
629	38392	22547
630	38449	22484
631	38509	22423
632	38564	22359
633	38623	22296
634	38680	22233
635	38742	22173
636	38802	22111
637	38858	22048
638	38917	21986
639	38988	21931
640	39049	21869
641	39110	21809
642	39167	21746
643	39228	21685
644	39284	21621
645	39347	21561
646	39405	21499
647	39473	21442
648	39534	21381
649	39602	21324
650	39664	21263
651	39723	21202
652	39781	21139
653	39840	21077
654	39903	21017
655	39965	20957
656	40024	20895
657	40082	20833
658	40144	20772
659	40206	20712
660	40265	20650
661	40324	20588
662	40385	20527
663	40441	20464
664	40508	20406
665	40568	20345
666	40635	20287
667	40693	20224
668	40754	20164
669	40815	20103
670	40875	20041
671	40944	19984
672	41006	19924
673	41067	19863
674	41129	19803
675	41190	19742
676	41252	19681
677	41331	19629
678	41394	19569
679	41462	19511
680	41523	19450
681	41582	19388
682	41640	19326
683	41703	19266
684	41762	19204
685	41823	19143
686	41890	19085
687	41954	19025
688	42014	18964
689	42073	18902
690	42132	18840
691	42196	18781
692	42255	18719
693	42316	18658
694	42376	18596
695	42436	18535
696	42496	18473
697	42555	18412
698	42615	18350
699	42675	18289
700	42739	18229
701	42800	18168
702	42862	18108
703	42940	18054
704	43002	17993
705	43063	17932
706	43119	17870
707	43174	17806
708	43229	17742
709	43285	17679
710	43348	17619
711	43403	17556
712	43460	17493
713	43536	17438
714	43591	17375
715	43647	17312
716	43704	17249
717	43759	17186
718	43815	17124
719	43879	17064
720	43938	17002
721	44001	16942
722	44059	16880
723	44117	16818
724	44174	16755
725	44232	16693
726	44287	16630
727	44351	16571
728	44408	16508
729	44467	16446
730	44531	16387
731	44586	16323
732	44640	16260
733	44698	16198
734	44761	16138
735	44821	16077
736	44887	16018
737	44948	15957
738	45008	15895
739	45064	15833
740	45129	15774
741	45187	15712
742	45250	15652
743	45332	15598
744	45397	15538
745	45460	15478
746	45531	15421
747	45591	15359
748	45651	15298
749	45707	15235
750	45766	15174
751	45829	15114
752	45891	15053
753	45945	14990
754	45998	14926
755	46054	14864
756	46144	14812
757	46204	14751
758	46259	14688
759	46324	14628
760	46383	14567
761	46442	14505
762	46499	14443
763	46563	14383
764	46626	14323
765	46691	14263
766	46756	14203
767	46821	14144
768	46916	14093
769	46980	14033
770	47042	13972
771	47103	13911
772	47162	13849
773	47220	13787
774	47292	13729
775	47350	13668
776	47411	13607
777	47472	13546
778	47530	13484
779	47592	13423
780	47650	13361
781	47710	13300
782	47791	13244
783	47855	13184
784	47919	13124
785	47979	13063
786	48038	13001
787	48099	12940
788	48155	12878
789	48217	12817
790	48281	12757
791	48346	12697
792	48403	12634
793	48463	12573
794	48518	12511
795	48574	12448
796	48633	12387
797	48693	12325
798	48754	12264
799	48817	12204
800	48888	12145
801	48947	12084
802	49010	12023
803	49074	11963
804	49136	11902
805	49197	11841
806	49261	11781
807	49321	11719
808	49377	11657
809	49431	11595
810	49491	11533
811	49546	11471
812	49602	11409
813	49657	11346
814	49713	11284
815	49772	11223
816	49844	11164
817	49900	11102
818	49956	11040
819	50031	10982
820	50086	10920
821	50149	10859
822	50205	10797
823	50272	10737
824	50338	10677
825	50392	10615
826	50453	10554
827	50512	10492
828	50572	10431
829	50630	10370
830	50687	10308
831	50749	10247
832	50810	10186
