iter	Logloss
0	0.5903605086
1	0.5129398415
2	0.4555697378
3	0.4063928836
4	0.3746405366
5	0.3446179087
6	0.3218965741
7	0.3058355478
8	0.2918324857
9	0.2833234436
10	0.2711824223
11	0.2638046262
12	0.260116611
13	0.2576377314
14	0.2538469578
15	0.2481467722
16	0.2447204761
17	0.2434878112
18	0.2425093932
19	0.2407966178
20	0.2383303968
21	0.2352579492
22	0.2350652501
23	0.2325571069
24	0.231829102
25	0.2295858553
26	0.2285283214
27	0.2283726827
28	0.2282701101
29	0.2268905951
30	0.2253178977
31	0.2245031849
32	0.2243980535
33	0.2238037476
34	0.2236264215
35	0.2231152366
36	0.2210121069
37	0.2201391877
38	0.2190068125
39	0.2178944959
40	0.2162191233
41	0.215034469
42	0.2145312296
43	0.2133642781
44	0.2122478195
45	0.2115021118
46	0.2115000632
47	0.211267866
48	0.2106773653
49	0.2100034193
50	0.2092977093
51	0.209059616
52	0.2082201978
53	0.2073253459
54	0.2071979558
55	0.2071866998
56	0.2056799782
57	0.2055512873
58	0.2052480998
59	0.2051771731
60	0.2046907333
61	0.2038592436
62	0.2033303238
63	0.202802631
64	0.2025514867
65	0.2025403927
66	0.2012063124
67	0.2005395893
68	0.1993751638
69	0.1993344272
70	0.1992514316
71	0.1989004994
72	0.1972428555
73	0.1961946658
74	0.1961830756
75	0.195406275
76	0.1947518576
77	0.1936349895
78	0.1936320553
79	0.1927858706
80	0.1919377628
81	0.1909525028
82	0.1907112259
83	0.189591982
84	0.1889376149
85	0.1883967293
86	0.1881802515
87	0.1872905255
88	0.1866155186
89	0.1855734236
90	0.1855111952
91	0.1848290737
92	0.1840939494
93	0.1833736702
94	0.1826563242
95	0.1818626082
96	0.1813829497
97	0.1811467816
98	0.18007654
99	0.1790472866
100	0.1782160913
101	0.1777401529
102	0.1763200792
103	0.1750193863
104	0.1748008175
105	0.1738471654
106	0.1728963131
107	0.1723045738
108	0.1716717463
109	0.1707339691
110	0.1701929387
111	0.1697736365
112	0.1690431988
113	0.1685029165
114	0.1677137284
115	0.1670258778
116	0.1664821703
117	0.1660157664
118	0.1646985153
119	0.1641798454
120	0.1637530544
121	0.1630560596
122	0.162206392
123	0.1613493407
124	0.1608450001
125	0.1601136596
126	0.1598355757
127	0.1592016036
128	0.1583788968
129	0.1579296985
130	0.1573242777
131	0.155908946
132	0.1550774511
133	0.1541158317
134	0.1534851989
135	0.1528635079
136	0.1524043396
137	0.1518634872
138	0.151145033
139	0.1497857794
140	0.1489098446
141	0.147984543
142	0.1472490218
143	0.146762051
144	0.1465015825
145	0.1458206767
146	0.1456113028
147	0.1451443411
148	0.1446408703
149	0.1442387834
150	0.1435157033
151	0.1428556038
152	0.142236346
153	0.1414436161
154	0.1412339743
155	0.1404797039
156	0.1398821028
157	0.1395281958
158	0.1388514973
159	0.1384138308
160	0.1375599308
161	0.1371639867
162	0.1369513332
163	0.1368100366
164	0.136259566
165	0.1361013923
166	0.1353051589
167	0.1349284968
168	0.1343926711
169	0.1342031772
170	0.133457628
171	0.1328912927
172	0.1322700935
173	0.1321736605
174	0.1309630695
175	0.1305863207
176	0.1299335935
177	0.1295042497
178	0.1290240711
179	0.1285326684
180	0.1280636774
181	0.127745411
182	0.12734389
183	0.1272525978
184	0.1268294216
185	0.1261603343
186	0.1252851841
187	0.124824292
188	0.1240918977
189	0.1239667433
190	0.1231370257
191	0.1228379269
192	0.1225336148
193	0.1220392747
194	0.1218108024
195	0.1217241641
196	0.1214228984
197	0.1208916521
198	0.1205268072
199	0.1202303247
200	0.1196952902
201	0.1194221973
202	0.1191503475
203	0.1191002681
204	0.1188106666
205	0.1182272565
206	0.1175918094
207	0.1171805869
208	0.1170196852
209	0.1167982152
210	0.1163824701
211	0.1159811865
212	0.1155000663
213	0.1149148996
214	0.114376885
215	0.1140119381
216	0.1136175335
217	0.1133277145
218	0.1132692875
219	0.1129244317
220	0.1126806787
221	0.1117337688
222	0.111064396
223	0.1110006335
224	0.1106621814
225	0.1103807658
226	0.1097361433
227	0.1095180567
228	0.1090140515
229	0.108755982
230	0.1086843856
231	0.1083843831
232	0.1079740222
233	0.1078501271
234	0.1076210563
235	0.1073102805
236	0.1071766281
237	0.1070814792
238	0.1065130406
239	0.1061685452
240	0.1060095885
241	0.1052682633
242	0.1047550922
243	0.1043973341
244	0.103917957
245	0.1032783297
246	0.1029601938
247	0.1022825385
248	0.1019816889
249	0.101744738
250	0.1014041201
251	0.1010363717
252	0.1004889656
253	0.09991873248
254	0.09960214123
255	0.09926644295
256	0.09901107226
257	0.09871381449
258	0.09822121796
259	0.09761560014
260	0.09747440811
261	0.09728962387
262	0.09714674098
263	0.09706832217
264	0.09642480134
265	0.09633904459
266	0.09593242122
267	0.09572933808
268	0.09520384667
269	0.09494961235
270	0.09458038489
271	0.09444153927
272	0.09431910553
273	0.09412381312
274	0.09385989015
275	0.09331179337
276	0.09316077144
277	0.09302472037
278	0.0929642042
279	0.09275120412
280	0.09247001089
281	0.09201033139
282	0.09154233176
283	0.09138256324
284	0.09124240145
285	0.09105933359
286	0.09090272332
287	0.09072506558
288	0.09032880776
289	0.08995361782
290	0.0894624164
291	0.0893819644
292	0.08926704731
293	0.08890371027
294	0.08880694495
295	0.08850837107
296	0.08842223641
297	0.08780253823
298	0.08768225103
299	0.08712485597
300	0.08698035953
